,Type,Study,,,Templete data ,Age data,NOAA template,For J Morton to check,Uploaded to NCDC,Notes,Triple checked by CG and JR,Notes,,,,,,,,,,,,,,
Paleosol,Paleosol,"Cleveland et al., 2008",,"Cleveland, D.M., Nordt, L.C., Dworkin, S.I. and Atchley, S.C., 2008. Pedogenic carbonate isotopes as evidence for extreme climatic events preceding the Triassic-Jurassic boundary: Implications for the biotic crisis? GSA Bulletin, 120(11–12): 1408–1415. https://doi.org/10.1130/B26332.1.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Da et al., 2019",,"Da, J., Zhang, Y.G., Li, G., Meng, X. and Ji, J., 2019. Low CO2 levels of the entire Pleistocene epoch. Nat. Commun., 10(1): 1–9. https://doi.org/10.1038/s41467-019-12357-5.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Ghosh et al., 2005",,"Ghosh, P., Bhattacharya, S.K. and Ghosh, P., 2005. Atmospheric CO2 During the Late Paleozoic and Mesozoic: Estimates from Indian Soils. In: I.T. Baldwin, M.M. Caldwell, G. Heldmaier, R.B. Jackson, O.L. Lange, H.A. Mooney, E.D. Schulze, U. Sommer, J.R. Ehleringer, M. Denise Dearing and T.E. Cerling (Editors), A History of Atmospheric CO2 and Its Effects on Plants, Animals, and Ecosystems. Springer New York, New York, NY, pp. 8–34. https://doi.org/10.1007/0-387-27048-5_2.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Gutierrez and Sheldon, 2012",,"Gutierrez, K. and Sheldon, N.D., 2012. Paleoenvironmental reconstruction of Jurassic dinosaur habitats of the Vega Formation, Asturias, Spain. Geol. Soc. Am. Bull., 124(3–4): 596–610. https://doi.org/10.1130/b30285.1.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Harper et al., 2021",,"Harper, D.T., Suarez, M.B., Uglesich, J., You, H., Li, D. and Dodson, P., 2021. Aptian–Albian clumped isotopes from northwest China: cool temperatures, variable atmospheric pCO2 and regional shifts in the hydrologic cycle. Clim. Past., 17(4): 1607–1625. https://doi.org/10.5194/cp-17-1607-2021.",Y,X,Y,X,,"Double checked by JDR, needs to be checked by J. Morton, Needs age data",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Hong and Lee, 2012",,"Hong, S.K. and Lee, Y.I., 2012. Evaluation of atmospheric carbon dioxide concentrations during the Cretaceous. Earth Planet. Sci. Lett., 327: 23–28. https://doi.org/10.1016/j.epsl.2012.01.014.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Hu et al., 2019",,"Hu, G., Liao, Z., Wang, L., Cao, J. and Tan, X., 2019. Transient fluctuation in paleoclimate at the end of Permian: New constraints from paleosol carbonates in the Erlongkou section, Chongqing, southwestern China. J. Asian Earth Sci., 173: 225-236. https://doi.org/10.1016/j.jseaes.2019.01.027.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Huang et al., 2012",,"Huang, C.M., Retallack, G.J. and Wang, C.S., 2012. Early Cretaceous atmospheric pCO2 levels recorded from pedogenic carbonates in China. Cretaceous Res., 33(1): 42–49. https://doi.org/10.1016/j.cretres.2011.08.001.",Y,Y,Y,,,Fixed errors identified by J. Morton. Double checked and ready for upload,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Huang et al., 2013",,"Huang, C., Retallack, G.J., Wang, C. and Huang, Q., 2013. Paleoatmospheric pCO2 fluctuations across the Cretaceous–Tertiary boundary recorded from paleosol carbonates in NE China. Palaeogeogr. Palaeocl., 385: 95-105. https://doi.org/10.1016/j.palaeo.2013.01.005.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Hyland and Sheldon, 2013",Hyland_2013a,"Hyland, E.G. and Sheldon, N.D., 2013. Coupled CO2-climate response during the Early Eocene Climatic Optimum. Palaeogeogr. Palaeocl., 369: 125–135. https://doi.org/10.1016/j.palaeo.2012.10.011.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
